Winner,Pot,Actions,ATTP1,ATTP2,HandNo
2,15.0,f/c,0.0,0.0,162
2,15.0,f/,0.0,0.0,163
2,15.0,f/c,0.0,0.0,164
2,15.0,f/,0.0,0.0,165
2,15.0,f/c,0.0,0.0,166
2,15.0,f/,0.0,0.0,167
2,15.0,f/c,0.0,0.0,168
2,15.0,f/,0.0,0.0,169
2,15.0,f/c,0.0,0.0,170
2,15.0,f/,0.0,0.0,171
2,15.0,f/c,0.0,0.0,172
2,15.0,f/,0.0,0.0,173
2,15.0,f/c,0.0,0.0,174
2,15.0,f/,0.0,0.0,175
2,15.0,f/c,0.0,0.0,176
2,15.0,f/,0.0,0.0,177
2,15.0,f/c,0.0,0.0,178
2,15.0,f/,0.0,0.0,179
2,15.0,f/c,0.0,0.0,180
2,15.0,f/,0.0,0.0,181
2,15.0,f/c,0.0,0.0,182
2,15.0,f/,0.0,0.0,183
2,15.0,f/c,0.0,0.0,184
2,15.0,f/,0.0,0.0,185
2,15.0,f/c,0.0,0.0,186
2,15.0,f/,0.0,0.0,187
2,15.0,f/c,0.0,0.0,188
2,15.0,f/,0.0,0.0,189
2,15.0,f/c,0.0,0.0,190
2,15.0,f/,0.001001119613647461,0.0,191
2,15.0,f/c,0.0,0.0,192
2,15.0,f/,0.0,0.0,193
2,15.0,f/c,0.0,0.0,194
2,15.0,f/,0.0,0.0,195
2,15.0,f/c,0.0,0.0,196
2,15.0,f/,0.0,0.0,197
2,15.0,f/c,0.0,0.0,198
2,15.0,f/,0.0,0.0,199
2,15.0,f/c,0.0,0.0,200
2,15.0,f/,0.0,0.0,201
2,15.0,f/c,0.0,0.0,202
2,15.0,f/,0.0,0.0,203
2,15.0,f/c,0.0,0.0,204
2,15.0,f/,0.0,0.0,205
2,15.0,f/c,0.0,0.0,206
2,15.0,f/,0.0,0.0,207
2,15.0,f/c,0.0,0.0,208
2,15.0,f/,0.0,0.0,209
2,15.0,f/c,0.0,0.0,210
2,15.0,f/,0.0,0.0,211
2,15.0,f/c,0.0,0.0,212
2,15.0,f/,0.0,0.0,213
2,15.0,f/c,0.0,0.0,214
2,15.0,f/,0.0,0.0,215
2,15.0,f/c,0.0,0.0,216
2,15.0,f/,0.0,0.0,217
2,15.0,f/c,0.0,0.0,218
2,15.0,f/,0.0,0.0,219
2,15.0,f/c,0.0,0.0,220
2,15.0,f/,0.0,0.0,221
2,15.0,f/c,0.0,0.0,222
2,15.0,f/,0.0,0.0,223
2,15.0,f/c,0.0,0.0,224
2,15.0,f/,0.0,0.0,225
2,15.0,f/c,0.0,0.0,226
2,15.0,f/,0.0,0.0,227
2,15.0,f/c,0.0,0.0,228
2,15.0,f/,0.0,0.0,229
2,15.0,f/c,0.0,0.0,230
2,15.0,f/,0.0,0.0,231
2,15.0,f/c,0.0,0.0,232
2,15.0,f/,0.0,0.0,233
2,15.0,f/c,0.0,0.0,234
2,15.0,f/,0.0,0.0,235
2,15.0,f/c,0.0,0.0,236
2,15.0,f/,0.0,0.0,237
2,15.0,f/c,0.0,0.0,238
2,15.0,f/,0.0,0.0,239
2,15.0,f/c,0.0,0.0,240
2,15.0,f/,0.0,0.0,241
2,15.0,f/c,0.0,0.0,242
2,15.0,f/,0.0,0.0,243
2,15.0,f/c,0.0,0.0,244
2,15.0,f/,0.0,0.0,245
2,15.0,f/c,0.0,0.0,246
2,15.0,f/,0.0,0.0,247
2,15.0,f/c,0.0,0.0,248
2,15.0,f/,0.0,0.0,249
2,15.0,f/c,0.0,0.0,250
2,15.0,f/,0.0,0.0,251
2,15.0,f/c,0.0,0.0,252
2,15.0,f/,0.0,0.0,253
2,15.0,f/c,0.0,0.0,254
2,15.0,f/,0.0,0.0,255
2,15.0,f/c,0.0,0.0,256
2,15.0,f/,0.0,0.0,257
2,15.0,f/c,0.0,0.0,258
2,15.0,f/,0.0,0.0,259
2,15.0,f/c,0.0,0.0,260
2,15.0,f/,0.0,0.0,261
2,15.0,f/c,0.0,0.0,262
2,15.0,f/,0.0,0.0,263
2,15.0,f/c,0.0,0.0,264
2,15.0,f/,0.0,0.0,265
2,15.0,f/c,0.0,0.0,266
2,15.0,f/,0.0,0.0,267
2,15.0,f/c,0.0,0.0,268
2,15.0,f/,0.0,0.0,269
2,15.0,f/c,0.0,0.0,270
2,15.0,f/,0.0,0.0,271
2,15.0,f/c,0.0,0.0,272
2,15.0,f/,0.0,0.0,273
2,15.0,f/c,0.0,0.0,274
2,15.0,f/,0.0,0.0,275
2,15.0,f/c,0.0,0.0,276
2,15.0,f/,0.0,0.0,277
2,15.0,f/c,0.0,0.0,278
2,15.0,f/,0.0,0.0,279
2,15.0,f/c,0.0,0.0,280
