Winner,Pot,Actions,ATTP1,ATTP2,HandNo
2,100.0,rcrrr/rcrrr,0.0,0.0,103
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,104
2,100.0,rcrrr/rcrrr,0.0,0.00014284678867885044,105
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,106
2,100.0,rcrrr/rcrrr,0.0,0.0,107
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,108
1,100.0,rcrrr/rcrrr,0.0,0.0,109
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,110
2,100.0,rcrrr/rcrrr,0.0,0.0,111
2,100.0,rrcrcrc/rrcrcrc,0.00014294896806989397,0.0,112
0,100.0,rcrrr/rcrrr,0.0,0.0,113
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,114
2,100.0,rcrrr/rcrrr,0.0,0.0,115
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,116
1,100.0,rcrrr/rcrrr,0.0,0.0,117
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,118
1,100.0,rcrrr/rcrrr,0.0,0.0,119
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,120
2,100.0,rcrrr/rcrrr,0.0,0.0,121
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,122
1,100.0,rcrrr/rcrrr,0.0,0.0,123
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,124
1,100.0,rcrrr/rcrrr,0.0,0.0,125
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,126
1,100.0,rcrrr/rcrrr,0.0,0.0,127
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,128
2,100.0,rcrrr/rcrrr,0.0,0.0,129
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,130
2,100.0,rcrrr/rcrrr,0.0,0.0,131
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,132
2,100.0,rcrrr/rcrrr,0.0,0.0,133
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,134
2,100.0,rcrrr/rcrrr,0.0,0.0,135
2,100.0,rrcrcrc/rrcrcrc,0.0,0.00019998550415039061,136
1,100.0,rcrrr/rcrrr,0.0,0.0,137
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,138
2,100.0,rcrrr/rcrrr,0.0,0.0,139
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,140
2,100.0,rcrrr/rcrrr,0.0,0.00014277866908482144,141
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,142
1,100.0,rcrrr/rcrrr,0.0,0.0,143
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,144
2,100.0,rcrrr/rcrrr,0.00020008087158203126,0.0,145
1,100.0,rrcrcrc/rrcrcrc,0.00028582981654575894,0.0,146
1,100.0,rcrrr/rcrrr,0.0,0.0,147
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,148
2,100.0,rcrrr/rcrrr,0.0,0.0,149
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,150
1,100.0,rcrrr/rcrrr,0.0,0.0,151
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,152
2,100.0,rcrrr/rcrrr,0.0,0.0,153
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,154
2,100.0,rcrrr/rcrrr,0.0,0.0,155
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,156
2,100.0,rcrrr/rcrrr,0.0,0.0,157
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,158
2,100.0,rcrrr/rcrrr,0.0,0.0,159
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,160
2,100.0,rcrrr/rcrrr,0.0,0.0,161
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,162
0,100.0,rcrrr/rcrrr,0.0,0.0,163
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,164
1,100.0,rcrrr/rcrrr,0.0,0.0,165
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,166
2,100.0,rcrrr/rcrrr,0.0,0.0,167
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0001998424530029297,168
2,100.0,rcrrr/rcrrr,0.0,0.0,169
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,170
1,100.0,rcrrr/rcrrr,0.0,0.0,171
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,172
2,100.0,rcrrr/rcrrr,0.0,0.0,173
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,174
2,100.0,rcrrr/rcrrr,0.0,0.0,175
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,176
2,100.0,rcrrr/rcrrr,0.00019989013671875,0.0,177
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,178
2,100.0,rcrrr/rcrrr,0.0,0.0,179
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,180
1,100.0,rcrrr/rcrrr,0.0,0.0,181
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,182
2,100.0,rcrrr/rcrrr,0.0,0.0,183
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,184
2,100.0,rcrrr/rcrrr,0.0,0.0,185
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,186
1,100.0,rcrrr/rcrrr,0.0,0.0,187
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,188
1,100.0,rcrrr/rcrrr,0.0,0.0,189
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,190
2,100.0,rcrrr/rcrrr,0.0,0.0,191
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,192
1,100.0,rcrrr/rcrrr,0.0,0.0,193
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,194
2,100.0,rcrrr/rcrrr,0.00020003318786621094,0.0,195
1,100.0,rrcrcrc/rrcrcrc,0.0,0.00020003318786621094,196
1,100.0,rcrrr/rcrrr,0.0,0.0,197
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,198
1,100.0,rcrrr/rcrrr,0.0,0.00028582981654575894,199
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,200
1,100.0,rcrrr/rcrrr,0.0,0.0,201
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,202
1,100.0,rcrrr/rcrrr,0.00020031929016113282,0.00014277866908482144,203
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,204
0,100.0,rcrrr/rcrrr,0.0,0.0,205
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,206
1,100.0,rcrrr/rcrrr,0.0,0.0,207
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,208
2,100.0,rcrrr/rcrrr,0.0,0.0,209
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,210
2,100.0,rcrrr/rcrrr,0.0,0.0,211
1,100.0,rrcrcrc/rrcrcrc,0.000143085207257952,0.0,212
1,100.0,rcrrr/rcrrr,0.0,0.0,213
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,214
2,100.0,rcrrr/rcrrr,0.0,0.0,215
0,100.0,rrcrcrc/rrcrcrc,0.0,0.0,216
1,100.0,rcrrr/rcrrr,0.0,0.0,217
2,100.0,rrcrcrc/rrcrcrc,0.00014288084847586497,0.0,218
1,100.0,rcrrr/rcrrr,0.0,0.0,219
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,220
1,100.0,rcrrr/rcrrr,0.0,0.0,221
1,100.0,rrcrcrc/rrcrcrc,0.00014311926705496653,0.0,222
2,100.0,rcrrr/rcrrr,0.0,0.0,223
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,224
2,100.0,rcrrr/rcrrr,0.0,0.000143017087663923,225
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,226
1,100.0,rcrrr/rcrrr,0.0,0.0,227
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,228
1,100.0,rcrrr/rcrrr,0.0,0.0,229
2,100.0,rrcrcrc/rrcrcrc,0.0002857276371547154,0.0,230
2,100.0,rcrrr/rcrrr,0.0,0.0,231
2,100.0,rrcrcrc/rrcrcrc,0.0,0.00019993782043457032,232
1,100.0,rcrrr/rcrrr,0.0,0.0,233
1,100.0,rrcrcrc/rrcrcrc,0.0,0.00020031929016113282,234
2,100.0,rcrrr/rcrrr,0.0,0.0,235
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,236
1,100.0,rcrrr/rcrrr,0.0,0.0,237
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,238
2,100.0,rcrrr/rcrrr,0.0,0.0,239
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,240
1,100.0,rcrrr/rcrrr,0.0,0.0,241
0,100.0,rrcrcrc/rrcrcrc,0.0,0.0,242
1,100.0,rcrrr/rcrrr,0.0,0.00014288084847586497,243
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,244
1,100.0,rcrrr/rcrrr,0.0,0.0,245
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,246
2,100.0,rcrrr/rcrrr,0.0,0.0,247
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,248
1,100.0,rcrrr/rcrrr,0.0,0.0,249
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,250
1,100.0,rcrrr/rcrrr,0.0,0.0,251
1,100.0,rrcrcrc/rrcrcrc,0.0001430511474609375,0.0,252
2,100.0,rcrrr/rcrrr,0.0,0.0,253
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,254
1,100.0,rcrrr/rcrrr,0.0,0.0,255
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,256
2,100.0,rcrrr/rcrrr,0.0,0.0,257
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,258
0,100.0,rcrrr/rcrrr,0.00019993782043457032,0.0,259
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,260
2,100.0,rcrrr/rcrrr,0.0,0.0,261
0,100.0,rrcrcrc/rrcrcrc,0.0,0.0,262
1,100.0,rcrrr/rcrrr,0.0,0.0,263
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,264
2,100.0,rcrrr/rcrrr,0.0,0.0,265
2,100.0,rrcrcrc/rrcrcrc,0.00014294896806989397,0.0,266
2,100.0,rcrrr/rcrrr,0.0,0.0,267
0,100.0,rrcrcrc/rrcrcrc,0.0,0.0,268
1,100.0,rcrrr/rcrrr,0.0,0.0,269
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,270
2,100.0,rcrrr/rcrrr,0.0,0.0,271
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,272
0,100.0,rcrrr/rcrrr,0.0,0.0,273
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,274
1,100.0,rcrrr/rcrrr,0.0,0.0,275
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,276
1,100.0,rcrrr/rcrrr,0.0,0.0,277
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,278
2,100.0,rcrrr/rcrrr,0.0,0.0,279
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,280
2,100.0,rcrrr/rcrrr,0.0,0.0,281
1,100.0,rrcrcrc/rrcrcrc,0.0,0.00019989013671875,282
2,100.0,rcrrr/rcrrr,0.0,0.0,283
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,284
1,100.0,rcrrr/rcrrr,0.0,0.0,285
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,286
2,100.0,rcrrr/rcrrr,0.0,0.0,287
2,100.0,rrcrcrc/rrcrcrc,0.0,0.00040035247802734376,288
1,100.0,rcrrr/rcrrr,0.0,0.0,289
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,290
2,100.0,rcrrr/rcrrr,0.0,0.0,291
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,292
2,100.0,rcrrr/rcrrr,0.0,0.0,293
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,294
2,100.0,rcrrr/rcrrr,0.0,0.0,295
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,296
2,100.0,rcrrr/rcrrr,0.0,0.001428706305367606,297
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,298
1,100.0,rcrrr/rcrrr,0.0,0.0,299
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,300
2,100.0,rcrrr/rcrrr,0.0,0.0,301
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,302
1,100.0,rcrrr/rcrrr,0.0,0.0,303
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,304
2,100.0,rcrrr/rcrrr,0.0,0.0,305
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,306
1,100.0,rcrrr/rcrrr,0.0,0.0,307
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,308
1,100.0,rcrrr/rcrrr,0.0,0.000286102294921875,309
2,100.0,rrcrcrc/rrcrcrc,0.00014294896806989397,0.0,310
2,100.0,rcrrr/rcrrr,0.0,0.0,311
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,312
2,100.0,rcrrr/rcrrr,0.0,0.0,313
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,314
0,100.0,rcrrr/rcrrr,0.0,0.0,315
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,316
1,100.0,rcrrr/rcrrr,0.0,0.0,317
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,318
1,100.0,rcrrr/rcrrr,0.0026005268096923827,0.0,319
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,320
2,100.0,rcrrr/rcrrr,0.0,0.0,321
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,322
2,100.0,rcrrr/rcrrr,0.0001998424530029297,0.00014298302786690847,323
2,100.0,rrcrcrc/rrcrcrc,0.00014284678867885044,0.0,324
1,100.0,rcrrr/rcrrr,0.00019998550415039061,0.0,325
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,326
1,100.0,rcrrr/rcrrr,0.0,0.0,327
2,100.0,rrcrcrc/rrcrcrc,0.00014288084847586497,0.0001998424530029297,328
2,100.0,rcrrr/rcrrr,0.0,0.0,329
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,330
0,100.0,rcrrr/rcrrr,0.0,0.0,331
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,332
2,100.0,rcrrr/rcrrr,0.0,0.0,333
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,334
2,100.0,rcrrr/rcrrr,0.0,0.0,335
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,336
2,100.0,rcrrr/rcrrr,0.0,0.0,337
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,338
1,100.0,rcrrr/rcrrr,0.0,0.0,339
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,340
2,100.0,rcrrr/rcrrr,0.0,0.0,341
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,342
2,100.0,rcrrr/rcrrr,0.0,0.0,343
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,344
1,100.0,rcrrr/rcrrr,0.0,0.0,345
0,100.0,rrcrcrc/rrcrcrc,0.0,0.0,346
1,100.0,rcrrr/rcrrr,0.0,0.0,347
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,348
2,100.0,rcrrr/rcrrr,0.0,0.0,349
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,350
1,100.0,rcrrr/rcrrr,0.0,0.0,351
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,352
2,100.0,rcrrr/rcrrr,0.0,0.0,353
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,354
2,100.0,rcrrr/rcrrr,0.0,0.0,355
1,100.0,rrcrcrc/rrcrcrc,0.00014291490827287947,0.0,356
1,100.0,rcrrr/rcrrr,0.0,0.0,357
1,100.0,rrcrcrc/rrcrcrc,0.00014298302786690847,0.0,358
1,100.0,rcrrr/rcrrr,0.0,0.0,359
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,360
2,100.0,rcrrr/rcrrr,0.0,0.0,361
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,362
0,100.0,rcrrr/rcrrr,0.0,0.0,363
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,364
1,100.0,rcrrr/rcrrr,0.0,0.0,365
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,366
1,100.0,rcrrr/rcrrr,0.0,0.0,367
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,368
1,100.0,rcrrr/rcrrr,0.0,0.00014284678867885044,369
